tau_max,rho_max,orig_regime,probe_regime,mean_orig_lpay,mean_probe_lpay,mean_delta_L,mean_delta_F,mean_orig_rho,mean_probe_rho,majority_flipped,seeds_flipped,n_seeds
0.1,0.0,Deterrence,Deterrence,32.31,32.89,0.58,-0.12,0.0,0.0,0,0,5
0.1,0.0714,Deterrence,Deterrence,18.31,19.24,0.92,-0.21,0.0359,0.0357,0,0,5
0.1,0.1429,Transition,Transition,3.51,5.61,2.1,-0.11,0.0723,0.0714,0,0,5
0.1,0.2143,Transition,Transition,-9.02,-7.64,1.38,0.18,0.1077,0.107,0,0,5
0.1,0.2857,Escalation,Escalation,-19.69,-19.93,-0.24,0.77,0.1427,0.1448,0,0,5
0.1,0.3571,Escalation,Escalation,-30.99,-30.04,0.95,0.01,0.1773,0.1787,0,0,5
0.1,0.4286,Escalation,Escalation,-41.46,-40.33,1.13,-0.52,0.216,0.2167,0,0,5
0.1,0.5,Escalation,Escalation,-51.74,-51.78,-0.04,0.23,0.2523,0.2563,0,0,5
0.15,0.0,Deterrence,Deterrence,45.96,46.38,0.42,-3.78,0.0,0.0,0,0,5
0.15,0.0714,Deterrence,Deterrence,32.4,32.89,0.48,-0.05,0.0362,0.0364,0,0,5
0.15,0.1429,Deterrence,Deterrence,18.14,18.37,0.23,0.38,0.0721,0.0726,0,0,5
0.15,0.2143,Transition,Transition,2.22,5.52,3.3,-0.44,0.112,0.1075,0,0,5
0.15,0.2857,Transition,Transition,-8.6,-7.11,1.49,-0.53,0.148,0.1476,0,0,5
0.15,0.3571,Escalation,Escalation,-18.19,-17.97,0.22,-0.08,0.1819,0.1833,0,0,5
0.15,0.4286,Escalation,Escalation,-30.36,-27.34,3.02,-0.45,0.2209,0.2165,0,0,5
0.15,0.5,Escalation,Escalation,-38.29,-36.66,1.63,-0.1,0.2547,0.2524,0,0,5
0.2,0.0,Deterrence,Deterrence,61.16,61.51,0.35,-1.1,0.0,0.0,0,0,5
0.2,0.0714,Deterrence,Deterrence,43.84,44.1,0.25,-0.09,0.0372,0.0372,0,0,5
0.2,0.1429,Deterrence,Deterrence,28.6,28.18,-0.42,0.42,0.0744,0.0754,0,0,5
0.2,0.2143,Deterrence,Deterrence,15.04,15.19,0.15,-0.25,0.1115,0.1115,0,3,5
0.2,0.2857,Transition,Transition,0.96,2.11,1.15,0.89,0.1506,0.1521,0,0,5
0.2,0.3571,Transition,Transition,-8.18,-7.94,0.24,-0.22,0.1848,0.1862,0,0,5
0.2,0.4286,Escalation,Escalation,-19.49,-18.84,0.66,0.63,0.2241,0.2241,0,0,5
0.2,0.5,Escalation,Escalation,-27.82,-26.82,1.0,0.14,0.2549,0.2572,0,0,5
0.25,0.0,Deterrence,Deterrence,69.66,70.01,0.35,-1.38,0.0,0.0,0,0,5
0.25,0.0714,Deterrence,Deterrence,52.48,52.73,0.25,-0.05,0.0376,0.0374,0,0,5
0.25,0.1429,Deterrence,Deterrence,37.72,38.16,0.44,0.03,0.0745,0.0741,0,0,5
0.25,0.2143,Deterrence,Deterrence,23.75,23.71,-0.04,-0.01,0.1124,0.1133,0,0,5
0.25,0.2857,Transition,Transition,10.87,12.31,1.44,-0.04,0.1502,0.1489,0,0,5
0.25,0.3571,Transition,Transition,-0.38,1.92,2.3,-0.16,0.1877,0.1836,0,0,5
0.25,0.4286,Transition,Transition,-12.76,-11.01,1.75,-0.11,0.2295,0.2272,0,1,5
0.25,0.5,Escalation,Escalation,-19.53,-18.62,0.91,-0.1,0.2566,0.2587,0,0,5
0.3,0.0,Deterrence,Deterrence,76.19,76.48,0.29,2.06,0.0,0.0,0,0,5
0.3,0.0714,Deterrence,Deterrence,59.92,59.48,-0.45,-0.27,0.0373,0.0381,0,0,5
0.3,0.1429,Deterrence,Deterrence,44.28,44.46,0.18,-0.25,0.0759,0.0755,0,0,5
0.3,0.2143,Deterrence,Deterrence,30.13,29.6,-0.54,0.32,0.1146,0.1163,0,0,5
0.3,0.2857,Deterrence,Deterrence,18.8,18.74,-0.06,-0.2,0.1489,0.1487,0,0,5
0.3,0.3571,Transition,Transition,6.16,6.42,0.26,0.05,0.1901,0.1898,0,0,5
0.3,0.4286,Transition,Transition,-5.14,-3.14,2.0,0.13,0.2292,0.2241,0,0,5
0.3,0.5,Escalation,Escalation,-17.0,-15.5,1.5,-0.16,0.2725,0.2703,0,0,5
0.35,0.0,Deterrence,Deterrence,81.01,81.18,0.17,0.59,0.0,0.0,0,0,5
0.35,0.0714,Deterrence,Deterrence,64.55,65.07,0.52,-0.28,0.038,0.0373,0,0,5
0.35,0.1429,Deterrence,Deterrence,49.13,48.89,-0.24,-0.14,0.0765,0.077,0,0,5
0.35,0.2143,Deterrence,Deterrence,34.76,35.05,0.29,0.23,0.1168,0.1158,0,0,5
0.35,0.2857,Deterrence,Deterrence,23.22,23.48,0.26,-0.78,0.1516,0.1511,0,0,5
0.35,0.3571,Transition,Transition,11.57,11.31,-0.26,0.24,0.1901,0.1914,0,0,5
0.35,0.4286,Transition,Transition,0.32,0.82,0.5,-0.05,0.2309,0.23,0,0,5
0.35,0.5,Transition,Transition,-10.26,-9.61,0.65,0.27,0.2712,0.2696,0,0,5
0.4,0.0,Deterrence,Deterrence,84.3,84.34,0.04,0.24,0.0,0.0,0,0,5
0.4,0.0714,Deterrence,Deterrence,67.67,68.05,0.38,-0.6,0.0387,0.0378,0,0,5
0.4,0.1429,Deterrence,Deterrence,53.07,52.4,-0.67,-0.08,0.0759,0.0773,0,0,5
0.4,0.2143,Deterrence,Deterrence,39.68,39.42,-0.27,0.19,0.1129,0.1132,0,0,5
0.4,0.2857,Deterrence,Deterrence,25.48,25.94,0.46,-0.3,0.1561,0.1549,0,0,5
0.4,0.3571,Transition,Transition,13.08,13.41,0.33,0.23,0.1977,0.1962,0,1,5
0.4,0.4286,Transition,Transition,3.19,3.11,-0.07,0.25,0.2339,0.235,0,0,5
0.4,0.5,Transition,Transition,-13.29,-7.1,6.18,-2.53,0.2964,0.2741,0,1,5
0.45,0.0,Deterrence,Deterrence,86.25,86.14,-0.11,0.18,0.0,0.0,0,0,5
0.45,0.0714,Deterrence,Deterrence,69.43,70.68,1.25,-3.0,0.0394,0.0362,0,0,5
0.45,0.1429,Deterrence,Deterrence,54.84,54.54,-0.3,0.21,0.077,0.0774,0,0,5
0.45,0.2143,Deterrence,Deterrence,39.75,40.77,1.02,-0.19,0.1195,0.1162,0,0,5
0.45,0.2857,Deterrence,Deterrence,28.06,28.54,0.48,-0.49,0.1563,0.1545,0,0,5
0.45,0.3571,Deterrence,Deterrence,16.08,15.63,-0.45,-0.05,0.1964,0.1975,0,0,5
0.45,0.4286,Transition,Transition,4.48,2.56,-1.92,0.68,0.2394,0.2453,0,0,5
0.45,0.5,Transition,Transition,-13.01,-6.4,6.6,-3.49,0.305,0.2812,0,1,5
