tau_max,rho_max,orig_regime,probe_regime,mean_orig_lpay,mean_probe_lpay,mean_delta_L,mean_delta_F,mean_orig_rho,mean_probe_rho,majority_flipped,seeds_flipped,n_seeds
0.1,0.0,Deterrence,Deterrence,32.31,32.87,0.56,-0.6,0.0,0.0,0,0,5
0.1,0.0714,Deterrence,Deterrence,18.31,19.4,1.08,-0.29,0.0359,0.0357,0,0,5
0.1,0.1429,Transition,Transition,3.51,5.02,1.51,-0.01,0.0723,0.0722,0,0,5
0.1,0.2143,Transition,Transition,-9.02,-7.58,1.44,0.02,0.1077,0.1068,0,0,5
0.1,0.2857,Escalation,Escalation,-19.69,-18.9,0.78,0.43,0.1427,0.1442,0,0,5
0.1,0.3571,Escalation,Escalation,-30.99,-29.62,1.37,-0.07,0.1773,0.1776,0,0,5
0.1,0.4286,Escalation,Escalation,-41.46,-39.36,2.1,-0.43,0.216,0.2125,0,0,5
0.1,0.5,Escalation,Escalation,-51.74,-50.75,0.99,0.41,0.2523,0.2537,0,0,5
0.15,0.0,Deterrence,Deterrence,45.96,46.53,0.56,-4.8,0.0,0.0,0,0,5
0.15,0.0714,Deterrence,Deterrence,32.4,32.78,0.38,-0.06,0.0362,0.0366,0,0,5
0.15,0.1429,Deterrence,Deterrence,18.14,18.61,0.47,0.36,0.0721,0.0722,0,0,5
0.15,0.2143,Transition,Transition,2.22,3.99,1.77,-0.11,0.112,0.1092,0,0,5
0.15,0.2857,Transition,Transition,-8.6,-6.59,2.01,-0.6,0.148,0.1464,0,0,5
0.15,0.3571,Escalation,Escalation,-18.19,-17.25,0.94,-0.25,0.1819,0.1818,0,0,5
0.15,0.4286,Escalation,Escalation,-30.36,-27.18,3.17,-0.56,0.2209,0.2153,0,0,5
0.15,0.5,Escalation,Escalation,-38.29,-36.45,1.85,-0.14,0.2547,0.2516,0,0,5
0.2,0.0,Deterrence,Deterrence,61.16,61.51,0.35,-0.84,0.0,0.0,0,0,5
0.2,0.0714,Deterrence,Deterrence,43.84,44.21,0.37,-0.29,0.0372,0.0373,0,0,5
0.2,0.1429,Deterrence,Deterrence,28.6,28.12,-0.48,0.4,0.0744,0.0743,0,0,5
0.2,0.2143,Deterrence,Deterrence,15.04,15.42,0.37,-0.23,0.1115,0.1112,0,3,5
0.2,0.2857,Transition,Transition,0.96,3.17,2.21,0.56,0.1506,0.1488,0,0,5
0.2,0.3571,Transition,Transition,-8.18,-6.92,1.26,-0.1,0.1848,0.1829,0,0,5
0.2,0.4286,Escalation,Escalation,-19.49,-17.42,2.07,0.28,0.2241,0.2192,0,0,5
0.2,0.5,Escalation,Escalation,-27.82,-26.28,1.55,-0.12,0.2549,0.2549,0,0,5
0.25,0.0,Deterrence,Deterrence,69.66,70.01,0.35,2.62,0.0,0.0,0,0,5
0.25,0.0714,Deterrence,Deterrence,52.48,52.87,0.39,-0.17,0.0376,0.0373,0,0,5
0.25,0.1429,Deterrence,Deterrence,37.72,38.49,0.76,-0.08,0.0745,0.0735,0,0,5
0.25,0.2143,Deterrence,Deterrence,23.75,24.17,0.43,-0.02,0.1124,0.1122,0,0,5
0.25,0.2857,Transition,Transition,10.87,12.34,1.47,-0.01,0.1502,0.1487,0,0,5
0.25,0.3571,Transition,Transition,-0.38,1.86,2.24,-0.1,0.1877,0.184,0,0,5
0.25,0.4286,Transition,Transition,-12.76,-10.03,2.73,-0.16,0.2295,0.2256,0,1,5
0.25,0.5,Escalation,Escalation,-19.53,-20.21,-0.68,-0.51,0.2566,0.2615,0,0,5
0.3,0.0,Deterrence,Deterrence,76.19,76.48,0.29,4.77,0.0,0.0,0,0,5
0.3,0.0714,Deterrence,Deterrence,59.92,59.59,-0.34,-0.19,0.0373,0.038,0,0,5
0.3,0.1429,Deterrence,Deterrence,44.28,44.78,0.51,-0.3,0.0759,0.0749,0,0,5
0.3,0.2143,Deterrence,Deterrence,30.13,30.18,0.05,0.27,0.1146,0.1149,0,0,5
0.3,0.2857,Deterrence,Deterrence,18.8,19.06,0.26,-0.24,0.1489,0.1478,0,0,5
0.3,0.3571,Transition,Transition,6.16,7.2,1.04,-0.07,0.1901,0.1877,0,0,5
