tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.1,0.0,42,Deterrence,31.889,18.18,0.0,0.0927,0.0831,Deterrence,32.314,18.197,0.0,0.0928,0.425,0.018,0
0.1,0.0,123,Deterrence,31.724,19.935,0.0,0.1018,0.0826,Deterrence,31.637,19.346,0.0,0.0987,-0.086,-0.589,0
0.1,0.0,777,Deterrence,33.024,18.037,0.0,0.092,0.0866,Deterrence,34.028,17.788,0.0,0.0907,1.004,-0.249,0
0.1,0.0,999,Deterrence,31.72,19.245,0.0,0.0982,0.0825,Deterrence,33.111,19.008,0.0,0.097,1.391,-0.237,0
0.1,0.0,2024,Deterrence,33.2,16.151,0.0,0.0824,0.0872,Deterrence,33.375,16.617,0.0,0.0847,0.175,0.467,0
0.1,0.0714,42,Deterrence,19.844,17.796,0.0359,0.0867,0.0936,Deterrence,20.315,17.907,0.0352,0.0874,0.472,0.111,0
0.1,0.0714,123,Deterrence,18.008,18.512,0.0353,0.0906,0.0869,Deterrence,18.873,18.237,0.0344,0.0893,0.865,-0.275,0
0.1,0.0714,777,Deterrence,17.868,16.369,0.0358,0.0797,0.0871,Deterrence,19.942,17.825,0.0355,0.0869,2.074,1.456,0
0.1,0.0714,999,Deterrence,16.916,20.24,0.037,0.0996,0.0857,Deterrence,18.266,17.754,0.0372,0.0865,1.35,-2.486,0
0.1,0.0714,2024,Deterrence,18.921,18.72,0.0355,0.0917,0.09,Deterrence,18.782,18.873,0.0362,0.0923,-0.139,0.153,0
0.1,0.1429,42,Transition,3.936,19.091,0.0735,0.0899,0.0891,Transition,5.979,18.365,0.0717,0.0859,2.042,-0.726,0
0.1,0.1429,123,Transition,2.76,19.163,0.0713,0.0909,0.0826,Transition,3.92,16.378,0.0726,0.0761,1.159,-2.785,0
0.1,0.1429,777,Transition,1.72,15.769,0.0749,0.0731,0.0842,Transition,7.95,18.483,0.0717,0.086,6.23,2.714,0
0.1,0.1429,999,Transition,5.672,19.111,0.0701,0.0901,0.0903,Transition,5.403,18.743,0.0703,0.0882,-0.27,-0.368,0
0.1,0.1429,2024,Transition,3.467,16.592,0.0715,0.0776,0.0851,Transition,4.787,17.224,0.0706,0.0806,1.321,0.632,0
0.1,0.2143,42,Transition,-8.576,19.471,0.1064,0.0892,0.086,Transition,-8.272,19.8,0.1068,0.0907,0.304,0.329,0
0.1,0.2143,123,Transition,-9.354,19.703,0.1086,0.0903,0.0861,Transition,-9.281,19.785,0.1108,0.0902,0.073,0.082,0
0.1,0.2143,777,Transition,-8.002,19.501,0.1056,0.0893,0.0868,Transition,-6.683,19.403,0.1052,0.0884,1.318,-0.098,0
0.1,0.2143,999,Transition,-10.219,20.431,0.1108,0.0938,0.0857,Transition,-7.415,19.675,0.1076,0.0895,2.804,-0.756,0
0.1,0.2143,2024,Transition,-8.929,18.511,0.1073,0.0843,0.0861,Transition,-6.541,19.855,0.1044,0.0909,2.388,1.344,0
0.1,0.2857,42,Escalation,-19.115,19.657,0.1417,0.0871,0.0886,Escalation,-18.817,19.916,0.1427,0.088,0.298,0.259,0
0.1,0.2857,123,Escalation,-19.109,20.643,0.1426,0.0918,0.0898,Escalation,-17.744,20.989,0.1416,0.0932,1.365,0.346,0
0.1,0.2857,777,Escalation,-18.894,19.419,0.1429,0.0854,0.0905,Escalation,-23.858,21.275,0.1477,0.0962,-4.964,1.855,0
0.1,0.2857,999,Escalation,-21.672,19.223,0.1437,0.0855,0.0823,Escalation,-19.327,19.401,0.1438,0.0853,2.345,0.178,0
0.1,0.2857,2024,Escalation,-19.644,19.224,0.1427,0.0848,0.0878,Escalation,-19.885,20.44,0.1483,0.0899,-0.24,1.216,0
0.1,0.3571,42,Escalation,-32.984,21.638,0.183,0.095,0.0841,Escalation,-31.141,20.766,0.1815,0.0898,1.843,-0.872,0
0.1,0.3571,123,Escalation,-29.252,20.618,0.1711,0.0906,0.0833,Escalation,-30.106,20.892,0.1793,0.0904,-0.854,0.274,0
0.1,0.3571,777,Escalation,-31.168,20.326,0.1756,0.0891,0.082,Escalation,-30.372,20.172,0.1781,0.0872,0.796,-0.155,0
0.1,0.3571,999,Escalation,-31.675,20.809,0.1805,0.0905,0.0862,Escalation,-29.245,21.163,0.1772,0.0919,2.429,0.354,0
0.1,0.3571,2024,Escalation,-29.85,19.973,0.1763,0.0864,0.0867,Escalation,-29.322,20.427,0.1775,0.088,0.528,0.454,0
0.1,0.4286,42,Escalation,-43.547,20.051,0.2198,0.0848,0.0822,Escalation,-41.184,20.312,0.2175,0.0852,2.363,0.261,0
0.1,0.4286,123,Escalation,-41.862,20.042,0.214,0.0851,0.0823,Escalation,-42.334,19.007,0.2155,0.0799,-0.471,-1.035,0
0.1,0.4286,777,Escalation,-41.11,21.144,0.2155,0.0898,0.0863,Escalation,-39.86,21.284,0.2168,0.0893,1.251,0.14,0
0.1,0.4286,999,Escalation,-41.129,22.103,0.2137,0.0952,0.0848,Escalation,-38.731,20.148,0.2159,0.083,2.399,-1.955,0
0.1,0.4286,2024,Escalation,-39.643,21.137,0.2171,0.0885,0.0918,Escalation,-39.555,21.144,0.2176,0.0883,0.088,0.007,0
