tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.1,0.0,42,Deterrence,31.889,18.18,0.0,0.0927,0.0831,Deterrence,31.995,17.252,0.0,0.088,0.106,-0.928,0
0.1,0.0,123,Deterrence,31.724,19.935,0.0,0.1018,0.0826,Deterrence,31.645,18.925,0.0,0.0966,-0.079,-1.01,0
0.1,0.0,777,Deterrence,33.024,18.037,0.0,0.092,0.0866,Deterrence,34.158,17.83,0.0,0.091,1.135,-0.207,0
0.1,0.0,999,Deterrence,31.72,19.245,0.0,0.0982,0.0825,Deterrence,33.236,17.862,0.0,0.0911,1.516,-1.383,0
0.1,0.0,2024,Deterrence,33.2,16.151,0.0,0.0824,0.0872,Deterrence,33.3,16.704,0.0,0.0852,0.1,0.553,0
0.1,0.0714,42,Deterrence,19.844,17.796,0.0359,0.0867,0.0936,Deterrence,20.84,17.212,0.0352,0.0837,0.996,-0.585,0
0.1,0.0714,123,Deterrence,18.008,18.512,0.0353,0.0906,0.0869,Deterrence,18.955,18.07,0.0347,0.0884,0.947,-0.442,0
0.1,0.0714,777,Deterrence,17.868,16.369,0.0358,0.0797,0.0871,Deterrence,19.996,18.448,0.0352,0.0901,2.128,2.079,0
0.1,0.0714,999,Deterrence,16.916,20.24,0.037,0.0996,0.0857,Deterrence,18.162,17.778,0.0372,0.0867,1.246,-2.462,0
0.1,0.0714,2024,Deterrence,18.921,18.72,0.0355,0.0917,0.09,Deterrence,19.027,18.676,0.036,0.0913,0.107,-0.044,0
0.1,0.1429,42,Transition,3.936,19.091,0.0735,0.0899,0.0891,Transition,4.081,18.573,0.0752,0.0868,0.144,-0.518,0
0.1,0.1429,123,Transition,2.76,19.163,0.0713,0.0909,0.0826,Transition,3.809,16.499,0.0723,0.0768,1.049,-2.664,0
0.1,0.1429,777,Transition,1.72,15.769,0.0749,0.0731,0.0842,Transition,7.649,18.285,0.0725,0.0849,5.929,2.517,0
0.1,0.1429,999,Transition,5.672,19.111,0.0701,0.0901,0.0903,Transition,5.496,18.763,0.0707,0.0883,-0.177,-0.348,0
0.1,0.1429,2024,Transition,3.467,16.592,0.0715,0.0776,0.0851,Transition,4.088,17.536,0.0704,0.0825,0.621,0.944,0
0.1,0.2143,42,Transition,-8.576,19.471,0.1064,0.0892,0.086,Transition,-7.873,19.36,0.1065,0.0884,0.703,-0.111,0
0.1,0.2143,123,Transition,-9.354,19.703,0.1086,0.0903,0.0861,Transition,-9.383,19.753,0.1111,0.09,-0.03,0.05,0
0.1,0.2143,777,Transition,-8.002,19.501,0.1056,0.0893,0.0868,Transition,-6.629,19.559,0.1047,0.0892,1.373,0.057,0
0.1,0.2143,999,Transition,-10.219,20.431,0.1108,0.0938,0.0857,Transition,-7.081,19.626,0.1071,0.0893,3.138,-0.805,0
0.1,0.2143,2024,Transition,-8.929,18.511,0.1073,0.0843,0.0861,Transition,-6.917,19.424,0.1045,0.0888,2.012,0.913,0
0.1,0.2857,42,Escalation,-19.115,19.657,0.1417,0.0871,0.0886,Escalation,-19.067,19.872,0.1433,0.0877,0.049,0.216,0
0.1,0.2857,123,Escalation,-19.109,20.643,0.1426,0.0918,0.0898,Escalation,-17.902,20.715,0.1422,0.0917,1.208,0.072,0
0.1,0.2857,777,Escalation,-18.894,19.419,0.1429,0.0854,0.0905,Escalation,-18.4,19.806,0.1428,0.0871,0.494,0.387,0
0.1,0.2857,999,Escalation,-21.672,19.223,0.1437,0.0855,0.0823,Escalation,-19.149,19.479,0.1435,0.0858,2.523,0.256,0
0.1,0.2857,2024,Escalation,-19.644,19.224,0.1427,0.0848,0.0878,Escalation,-20.007,20.45,0.1491,0.0898,-0.363,1.226,0
0.1,0.3571,42,Escalation,-32.984,21.638,0.183,0.095,0.0841,Escalation,-30.965,20.777,0.1812,0.0898,2.019,-0.861,0
0.1,0.3571,123,Escalation,-29.252,20.618,0.1711,0.0906,0.0833,Escalation,-29.306,20.667,0.1774,0.0893,-0.054,0.049,0
0.1,0.3571,777,Escalation,-31.168,20.326,0.1756,0.0891,0.082,Escalation,-29.801,20.233,0.1765,0.0876,1.367,-0.093,0
0.1,0.3571,999,Escalation,-31.675,20.809,0.1805,0.0905,0.0862,Escalation,-28.727,21.017,0.1763,0.0911,2.948,0.209,0
0.1,0.3571,2024,Escalation,-29.85,19.973,0.1763,0.0864,0.0867,Escalation,-29.289,20.326,0.1765,0.0877,0.561,0.353,0
0.1,0.4286,42,Escalation,-43.547,20.051,0.2198,0.0848,0.0822,Escalation,-41.793,19.751,0.2195,0.0822,1.753,-0.3,0
0.1,0.4286,123,Escalation,-41.862,20.042,0.214,0.0851,0.0823,Escalation,-40.279,19.703,0.2112,0.0832,1.583,-0.339,0
0.1,0.4286,777,Escalation,-41.11,21.144,0.2155,0.0898,0.0863,Escalation,-36.411,20.741,0.2019,0.0882,4.699,-0.402,0
0.1,0.4286,999,Escalation,-41.129,22.103,0.2137,0.0952,0.0848,Escalation,-38.957,21.106,0.2125,0.0888,2.173,-0.997,0
0.1,0.4286,2024,Escalation,-39.643,21.137,0.2171,0.0885,0.0918,Escalation,-39.352,21.003,0.2172,0.0876,0.292,-0.134,0
0.1,0.5,42,Escalation,-49.69,21.408,0.2508,0.0889,0.0864,Escalation,-49.211,21.702,0.252,0.0899,0.48,0.294,0
0.1,0.5,123,Escalation,-49.948,22.088,0.2395,0.0957,0.0753,Escalation,-49.856,22.002,0.2475,0.0929,0.092,-0.087,0
0.1,0.5,777,Escalation,-50.984,20.401,0.2564,0.0831,0.0879,Escalation,-49.523,20.657,0.2535,0.084,1.462,0.257,0
0.1,0.5,999,Escalation,-51.866,22.171,0.2551,0.0932,0.084,Escalation,-52.017,22.061,0.2591,0.0916,-0.151,-0.11,0
0.1,0.5,2024,Escalation,-56.208,19.055,0.2598,0.0793,0.0747,Escalation,-53.137,20.745,0.2565,0.0866,3.071,1.69,0
0.15,0.0,42,Deterrence,47.973,31.872,0.0,0.1635,0.1389,Deterrence,48.337,17.653,0.0,0.09,0.364,-14.219,0
0.15,0.0,123,Deterrence,44.17,21.462,0.0,0.1098,0.124,Deterrence,46.124,17.67,0.0,0.0902,1.954,-3.792,0
0.15,0.0,777,Deterrence,46.147,20.718,0.0,0.1058,0.1318,Deterrence,45.979,18.435,0.0,0.0941,-0.168,-2.283,0
0.15,0.0,999,Deterrence,46.109,19.445,0.0,0.0992,0.1316,Deterrence,46.519,18.341,0.0,0.0935,0.41,-1.104,0
0.15,0.0,2024,Deterrence,45.414,20.876,0.0,0.1066,0.129,Deterrence,45.669,18.281,0.0,0.0932,0.255,-2.595,0
0.15,0.0714,42,Deterrence,32.553,18.267,0.0362,0.0871,0.1391,Deterrence,32.949,18.793,0.0367,0.0896,0.396,0.526,0
0.15,0.0714,123,Deterrence,32.092,17.612,0.0367,0.0837,0.1381,Deterrence,32.258,17.062,0.0366,0.0809,0.167,-0.55,0
0.15,0.0714,777,Deterrence,31.962,20.463,0.0359,0.0985,0.1363,Deterrence,32.563,19.462,0.0372,0.0929,0.602,-1.001,0
0.15,0.0714,999,Deterrence,32.582,18.596,0.0358,0.0888,0.1386,Deterrence,32.227,19.214,0.0371,0.0918,-0.355,0.619,0
0.15,0.0714,2024,Deterrence,32.824,17.48,0.0364,0.0829,0.1406,Deterrence,33.905,17.57,0.0355,0.0834,1.081,0.09,0
0.15,0.1429,42,Deterrence,18.898,19.188,0.0714,0.0864,0.1387,Deterrence,19.091,18.926,0.0717,0.0849,0.193,-0.262,0
0.15,0.1429,123,Deterrence,17.488,18.747,0.0728,0.0843,0.1353,Deterrence,18.012,18.457,0.0722,0.0828,0.524,-0.289,0
0.15,0.1429,777,Deterrence,18.878,18.877,0.0727,0.0845,0.1408,Deterrence,19.448,19.219,0.0727,0.086,0.57,0.341,0
0.15,0.1429,999,Deterrence,17.232,18.195,0.0714,0.0819,0.1323,Deterrence,18.512,20.047,0.0714,0.0909,1.281,1.852,0
0.15,0.1429,2024,Deterrence,18.201,19.571,0.0723,0.0884,0.1375,Deterrence,17.967,19.748,0.073,0.0892,-0.234,0.177,0
0.15,0.2143,42,Transition,4.11,21.657,0.108,0.0948,0.1313,Transition,7.01,20.174,0.1043,0.0869,2.9,-1.484,0
0.15,0.2143,123,Transition,4.609,19.867,0.1071,0.0857,0.1319,Transition,5.861,19.991,0.1053,0.0863,1.253,0.125,0
0.15,0.2143,777,Transition,-0.525,21.757,0.1171,0.0951,0.1262,Transition,2.983,21.658,0.1114,0.0946,3.508,-0.098,0
0.15,0.2143,999,Transition,-1.094,22.388,0.1178,0.0984,0.1249,Transition,-1.001,22.518,0.1141,0.1,0.093,0.13,0
0.15,0.2143,2024,Transition,4.001,20.225,0.1099,0.087,0.1336,Transition,5.083,21.004,0.1109,0.0901,1.082,0.778,0
0.15,0.2857,42,Transition,-10.604,23.048,0.1514,0.0974,0.1285,Transition,-6.301,21.547,0.1431,0.0898,4.303,-1.501,0
0.15,0.2857,123,Transition,-7.225,21.701,0.1457,0.0901,0.1346,Transition,-7.295,21.703,0.1473,0.0896,-0.07,0.001,0
0.15,0.2857,777,Transition,-11.077,21.523,0.1582,0.0873,0.1365,Transition,-6.381,21.188,0.1478,0.0862,4.696,-0.336,0
0.15,0.2857,999,Transition,-6.61,22.094,0.1461,0.0916,0.1377,Transition,-5.972,21.908,0.1479,0.0896,0.638,-0.186,0
0.15,0.2857,2024,Transition,-7.476,21.602,0.1384,0.0922,0.123,Transition,-6.983,20.618,0.1461,0.0842,0.493,-0.984,0
0.15,0.3571,42,Escalation,-20.651,22.424,0.1879,0.0894,0.1322,Escalation,-17.418,21.982,0.1819,0.0869,3.234,-0.442,0
0.15,0.3571,123,Escalation,-15.423,22.537,0.1722,0.0919,0.1316,Escalation,-16.368,21.783,0.1793,0.0863,-0.944,-0.754,0
0.15,0.3571,777,Escalation,-17.335,22.34,0.182,0.0888,0.1368,Escalation,-16.104,22.6,0.181,0.0898,1.23,0.26,0
0.15,0.3571,999,Escalation,-19.072,21.774,0.1836,0.0866,0.1325,Escalation,-17.963,21.599,0.1814,0.0856,1.109,-0.176,0
0.15,0.3571,2024,Escalation,-18.455,22.598,0.1839,0.0902,0.1352,Escalation,-18.391,22.481,0.1854,0.0891,0.064,-0.117,0
0.15,0.4286,42,Escalation,-31.099,23.301,0.226,0.0908,0.1301,Escalation,-26.784,23.386,0.2143,0.0918,4.314,0.084,0
0.15,0.4286,123,Escalation,-26.798,22.185,0.2154,0.0849,0.1349,Escalation,-26.066,22.331,0.2146,0.0855,0.733,0.145,0
0.15,0.4286,777,Escalation,-33.974,25.245,0.2249,0.1035,0.1181,Escalation,-26.76,22.815,0.2125,0.0891,7.214,-2.43,0
0.15,0.4286,999,Escalation,-28.694,22.911,0.2155,0.0901,0.1279,Escalation,-28.621,22.023,0.2188,0.0842,0.073,-0.887,0
0.15,0.4286,2024,Escalation,-31.219,22.255,0.2229,0.0862,0.1271,Escalation,-27.68,22.563,0.2164,0.0866,3.54,0.308,0
0.15,0.5,42,Escalation,-36.295,22.721,0.2522,0.0842,0.1342,Escalation,-33.23,22.38,0.2447,0.0825,3.065,-0.341,0
0.15,0.5,123,Escalation,-40.284,22.324,0.2544,0.0849,0.1219,Escalation,-38.221,22.794,0.2515,0.0867,2.063,0.469,0
0.15,0.5,777,Escalation,-37.626,23.683,0.2531,0.0899,0.131,Escalation,-35.662,22.73,0.2513,0.0844,1.964,-0.953,0
0.15,0.5,999,Escalation,-39.769,23.198,0.2592,0.0872,0.1293,Escalation,-36.908,22.933,0.2535,0.0854,2.861,-0.265,0
0.15,0.5,2024,Escalation,-37.491,23.795,0.2547,0.0903,0.1315,Escalation,-38.209,24.189,0.2571,0.0917,-0.718,0.393,0
0.2,0.0,42,Deterrence,61.166,30.481,0.0,0.1564,0.198,Deterrence,61.512,25.986,0.0,0.133,0.346,-4.495,0
0.2,0.0,123,Deterrence,61.159,26.325,0.0,0.1347,0.198,Deterrence,61.512,28.318,0.0,0.1448,0.353,1.993,0
0.2,0.0,777,Deterrence,61.159,33.271,0.0,0.1709,0.198,Deterrence,61.512,34.68,0.0,0.1782,0.352,1.408,0
0.2,0.0,999,Deterrence,61.156,32.038,0.0,0.1644,0.198,Deterrence,61.512,34.537,0.0,0.1774,0.356,2.499,0
0.2,0.0,2024,Deterrence,61.165,31.961,0.0,0.1641,0.198,Deterrence,61.512,26.364,0.0,0.135,0.347,-5.597,0
0.2,0.0714,42,Deterrence,43.7,20.25,0.0381,0.0945,0.1919,Deterrence,44.219,20.104,0.0381,0.0937,0.518,-0.146,0
0.2,0.0714,123,Deterrence,43.691,19.857,0.0376,0.0927,0.1905,Deterrence,45.266,20.046,0.0362,0.0937,1.574,0.19,0
0.2,0.0714,777,Deterrence,44.98,19.957,0.0353,0.0937,0.1921,Deterrence,44.469,18.614,0.0366,0.0864,-0.511,-1.343,0
0.2,0.0714,999,Deterrence,43.525,21.118,0.037,0.0994,0.1885,Deterrence,43.883,21.554,0.0365,0.1017,0.358,0.436,0
0.2,0.0714,2024,Deterrence,43.322,20.518,0.0382,0.096,0.19,Deterrence,43.218,19.951,0.0391,0.0928,-0.103,-0.567,0
0.2,0.1429,42,Deterrence,28.612,20.514,0.0738,0.0889,0.1849,Deterrence,26.831,20.474,0.0728,0.0898,-1.781,-0.04,0
0.2,0.1429,123,Deterrence,28.536,20.903,0.0744,0.0908,0.1859,Deterrence,28.774,20.907,0.0739,0.0909,0.238,0.005,0
0.2,0.1429,777,Deterrence,28.413,20.873,0.0748,0.0905,0.1859,Deterrence,27.648,21.252,0.0753,0.0926,-0.765,0.379,0
0.2,0.1429,999,Deterrence,29.663,19.947,0.0722,0.0862,0.1871,Deterrence,29.173,21.706,0.0726,0.0953,-0.49,1.758,0
0.2,0.1429,2024,Deterrence,27.791,19.357,0.0769,0.0823,0.1868,Deterrence,28.181,19.26,0.0769,0.0817,0.39,-0.097,0
0.2,0.2143,42,Transition,14.242,23.675,0.1119,0.0987,0.1807,Deterrence,15.555,22.741,0.1107,0.0936,1.312,-0.935,1
0.2,0.2143,123,Deterrence,15.102,21.29,0.1121,0.086,0.1845,Transition,14.857,21.266,0.1131,0.0856,-0.244,-0.024,1
0.2,0.2143,777,Transition,14.756,21.842,0.1125,0.0888,0.1836,Deterrence,15.63,21.561,0.1103,0.0877,0.874,-0.281,1
0.2,0.2143,999,Deterrence,15.409,21.842,0.1114,0.0889,0.1845,Deterrence,15.039,21.604,0.1129,0.0873,-0.37,-0.238,0
0.2,0.2143,2024,Deterrence,15.71,21.734,0.1097,0.0887,0.1835,Deterrence,15.994,22.083,0.1088,0.0907,0.285,0.349,0
0.2,0.2857,42,Transition,3.711,22.391,0.1473,0.0857,0.1843,Transition,2.886,22.616,0.1498,0.0865,-0.825,0.226,0
0.2,0.2857,123,Transition,-1.924,19.717,0.1546,0.0737,0.1681,Transition,2.52,22.034,0.1484,0.0845,4.444,2.317,0
0.2,0.2857,777,Transition,1.603,22.834,0.1515,0.088,0.1801,Transition,4.673,23.071,0.1482,0.0882,3.07,0.238,0
0.2,0.2857,999,Transition,4.159,21.997,0.1454,0.0843,0.1826,Transition,4.742,21.829,0.145,0.0832,0.583,-0.168,0
0.2,0.2857,2024,Transition,-2.742,21.586,0.1544,0.0837,0.1648,Transition,1.029,21.758,0.1527,0.0823,3.771,0.172,0
0.2,0.3571,42,Transition,-10.422,21.817,0.189,0.0781,0.1754,Transition,-8.402,22.082,0.1832,0.0803,2.019,0.265,0
0.2,0.3571,123,Transition,-6.534,25.153,0.1797,0.0956,0.1803,Transition,-6.942,24.174,0.1825,0.0898,-0.408,-0.98,0
0.2,0.3571,777,Transition,-5.401,24.704,0.1817,0.0914,0.1886,Transition,-5.609,25.172,0.1836,0.093,-0.208,0.468,0
0.2,0.3571,999,Transition,-9.068,24.397,0.1852,0.0923,0.1744,Transition,-4.891,24.064,0.1771,0.0901,4.177,-0.332,0
0.2,0.3571,2024,Transition,-9.477,22.809,0.1886,0.0827,0.1788,Transition,-8.753,22.898,0.1882,0.0827,0.724,0.089,0
0.2,0.4286,42,Escalation,-16.576,24.421,0.2168,0.0865,0.1808,Escalation,-16.575,24.442,0.2165,0.0866,0.001,0.021,0
0.2,0.4286,123,Escalation,-17.873,24.526,0.2198,0.0868,0.1794,Escalation,-15.806,23.819,0.2141,0.0838,2.067,-0.708,0
0.2,0.4286,777,Escalation,-17.778,25.65,0.2225,0.0915,0.1834,Escalation,-17.706,25.596,0.2238,0.0905,0.072,-0.054,0
0.2,0.4286,999,Escalation,-22.801,21.961,0.231,0.0746,0.17,Escalation,-17.429,24.059,0.2185,0.0849,5.372,2.097,0
0.2,0.4286,2024,Escalation,-22.433,24.171,0.2303,0.0851,0.173,Escalation,-19.585,24.196,0.2229,0.0862,2.848,0.024,0
0.2,0.5,42,Escalation,-29.37,24.487,0.2629,0.082,0.1763,Escalation,-27.207,25.025,0.258,0.0844,2.162,0.538,0
0.2,0.5,123,Escalation,-25.269,24.887,0.25,0.0848,0.1793,Escalation,-24.313,25.463,0.2515,0.0865,0.956,0.577,0
0.2,0.5,777,Escalation,-28.291,26.314,0.259,0.0915,0.1773,Escalation,-25.73,25.612,0.2524,0.088,2.561,-0.701,0
0.2,0.5,999,Escalation,-28.864,26.982,0.2574,0.0965,0.1714,Escalation,-27.816,26.503,0.2591,0.092,1.048,-0.479,0
0.2,0.5,2024,Escalation,-27.325,27.261,0.2452,0.1017,0.1625,Escalation,-26.311,26.72,0.2536,0.0938,1.014,-0.541,0
0.25,0.0,42,Deterrence,69.667,28.839,0.0,0.1477,0.2473,Deterrence,70.008,34.72,0.0,0.1784,0.341,5.881,0
0.25,0.0,123,Deterrence,69.655,29.762,0.0,0.1526,0.2472,Deterrence,70.008,31.297,0.0,0.1604,0.353,1.534,0
0.25,0.0,777,Deterrence,69.653,33.266,0.0,0.1709,0.2472,Deterrence,70.008,34.709,0.0,0.1783,0.355,1.443,0
0.25,0.0,999,Deterrence,69.659,31.463,0.0,0.1615,0.2472,Deterrence,70.008,34.104,0.0,0.1752,0.349,2.64,0
0.25,0.0,2024,Deterrence,69.662,32.528,0.0,0.167,0.2473,Deterrence,70.008,34.112,0.0,0.1752,0.346,1.584,0
0.25,0.0714,42,Deterrence,52.994,20.355,0.0364,0.0933,0.2396,Deterrence,53.349,19.976,0.0365,0.0912,0.355,-0.379,0
0.25,0.0714,123,Deterrence,53.803,18.892,0.0364,0.0855,0.2452,Deterrence,54.736,19.008,0.0357,0.0861,0.933,0.116,0
0.25,0.0714,777,Deterrence,52.261,20.431,0.038,0.0933,0.2389,Deterrence,52.054,20.52,0.0388,0.0936,-0.207,0.089,0
0.25,0.0714,999,Deterrence,53.185,19.354,0.0373,0.0878,0.2434,Deterrence,52.527,19.672,0.0387,0.089,-0.658,0.318,0
0.25,0.0714,2024,Deterrence,50.138,21.116,0.0399,0.0967,0.2302,Deterrence,51.671,20.116,0.0369,0.0922,1.533,-1.0,0
0.25,0.1429,42,Deterrence,38.895,22.47,0.0728,0.0946,0.2392,Deterrence,39.874,22.306,0.0708,0.0942,0.979,-0.164,0
0.25,0.1429,123,Deterrence,37.511,22.451,0.0742,0.0946,0.2337,Deterrence,37.823,22.549,0.0729,0.0955,0.312,0.098,0
0.25,0.1429,777,Deterrence,38.589,21.103,0.0733,0.0875,0.2387,Deterrence,38.324,21.445,0.0742,0.089,-0.266,0.342,0
0.25,0.1429,999,Deterrence,37.659,21.642,0.0739,0.0905,0.2341,Deterrence,37.911,21.74,0.0746,0.0905,0.252,0.098,0
0.25,0.1429,2024,Deterrence,35.968,21.391,0.0781,0.0883,0.2339,Deterrence,38.506,20.623,0.0748,0.0843,2.538,-0.768,0
0.25,0.2143,42,Deterrence,24.736,22.754,0.1111,0.0875,0.2346,Deterrence,25.235,22.315,0.1115,0.0846,0.499,-0.439,0
0.25,0.2143,123,Deterrence,23.377,22.697,0.1144,0.0867,0.2337,Deterrence,21.85,22.596,0.1187,0.0851,-1.527,-0.101,0
0.25,0.2143,777,Deterrence,23.715,22.359,0.1118,0.0858,0.2305,Deterrence,25.608,23.206,0.1074,0.0909,1.893,0.848,0
0.25,0.2143,999,Deterrence,22.798,23.045,0.1144,0.0888,0.2301,Deterrence,23.421,22.847,0.1144,0.0874,0.622,-0.198,0
0.25,0.2143,2024,Deterrence,24.115,22.882,0.1103,0.0889,0.2291,Deterrence,24.757,22.693,0.109,0.088,0.642,-0.189,0
0.25,0.2857,42,Transition,13.087,25.436,0.1474,0.0932,0.2359,Transition,14.016,25.069,0.1443,0.0921,0.93,-0.367,0
0.25,0.2857,123,Transition,5.925,21.492,0.1607,0.0737,0.2169,Transition,10.164,22.986,0.1559,0.0793,4.239,1.495,0
0.25,0.2857,777,Transition,14.014,23.515,0.1449,0.084,0.2352,Transition,13.681,23.741,0.1468,0.0844,-0.332,0.227,0
0.25,0.2857,999,Transition,10.027,26.01,0.1515,0.0973,0.2242,Transition,13.177,24.28,0.1466,0.0877,3.15,-1.73,0
0.25,0.2857,2024,Transition,11.277,24.319,0.1465,0.09,0.2219,Transition,10.663,24.648,0.1497,0.0905,-0.614,0.329,0
0.25,0.3571,42,Transition,-3.224,26.703,0.1946,0.0931,0.2219,Transition,0.269,26.522,0.1929,0.0887,3.493,-0.181,0
0.25,0.3571,123,Transition,-0.595,26.633,0.1858,0.0951,0.2193,Transition,3.304,25.59,0.1752,0.0908,3.9,-1.043,0
0.25,0.3571,777,Transition,2.791,25.269,0.1791,0.0875,0.2281,Transition,2.966,25.676,0.1804,0.0884,0.175,0.407,0
0.25,0.3571,999,Transition,-0.107,26.684,0.1891,0.0925,0.2301,Transition,1.265,26.58,0.1859,0.0922,1.372,-0.104,0
0.25,0.3571,2024,Transition,-0.768,25.33,0.1898,0.086,0.2271,Transition,1.509,25.736,0.1856,0.0877,2.277,0.405,0
0.25,0.4286,42,Transition,-9.944,27.38,0.223,0.091,0.2254,Transition,-9.465,27.213,0.2244,0.0888,0.48,-0.167,0
0.25,0.4286,123,Transition,-11.888,26.743,0.2253,0.0888,0.2185,Transition,-9.353,26.382,0.2233,0.0854,2.535,-0.361,0
0.25,0.4286,777,Transition,-11.543,26.809,0.2313,0.086,0.2292,Transition,-10.716,26.842,0.2322,0.0841,0.827,0.033,0
0.25,0.4286,999,Escalation,-16.569,28.821,0.2373,0.1003,0.2088,Transition,-10.635,27.219,0.2231,0.0918,5.935,-1.602,1
0.25,0.4286,2024,Transition,-13.859,26.112,0.2304,0.0861,0.214,Transition,-9.99,27.422,0.2248,0.0904,3.869,1.311,0
0.25,0.5,42,Escalation,-19.866,28.226,0.2561,0.0933,0.2121,Escalation,-20.216,28.432,0.2603,0.0917,-0.35,0.206,0
0.25,0.5,123,Escalation,-21.173,28.507,0.2633,0.0909,0.2217,Escalation,-19.916,28.058,0.2555,0.0928,1.258,-0.449,0
0.25,0.5,777,Escalation,-16.623,27.613,0.2532,0.0867,0.2282,Escalation,-15.927,27.983,0.2557,0.0857,0.696,0.369,0
0.25,0.5,999,Escalation,-20.552,29.767,0.2611,0.0998,0.216,Escalation,-19.078,27.948,0.2615,0.087,1.474,-1.818,0
0.25,0.5,2024,Escalation,-19.429,24.635,0.2492,0.0776,0.2048,Escalation,-25.898,23.779,0.2743,0.0692,-6.469,-0.856,0
0.3,0.0,42,Deterrence,76.208,32.326,0.0,0.1659,0.2967,Deterrence,76.478,33.918,0.0,0.1743,0.27,1.593,0
0.3,0.0,123,Deterrence,76.17,28.663,0.0,0.1468,0.2964,Deterrence,76.478,33.402,0.0,0.1715,0.308,4.739,0
0.3,0.0,777,Deterrence,76.184,28.164,0.0,0.1443,0.2965,Deterrence,76.478,34.68,0.0,0.1782,0.294,6.516,0
0.3,0.0,999,Deterrence,76.193,27.021,0.0,0.1383,0.2966,Deterrence,76.478,34.904,0.0,0.1793,0.285,7.883,0
0.3,0.0,2024,Deterrence,76.21,31.615,0.0,0.1623,0.2967,Deterrence,76.478,34.728,0.0,0.1784,0.268,3.112,0
0.3,0.0714,42,Deterrence,59.856,20.694,0.037,0.0925,0.2917,Deterrence,59.674,20.456,0.037,0.0913,-0.182,-0.237,0
0.3,0.0714,123,Deterrence,58.775,21.882,0.0395,0.0979,0.2912,Deterrence,59.374,21.693,0.0386,0.0971,0.599,-0.19,0
0.3,0.0714,777,Deterrence,59.906,20.042,0.0373,0.089,0.2932,Deterrence,59.376,20.417,0.0385,0.0905,-0.529,0.375,0
0.3,0.0714,999,Deterrence,60.297,19.269,0.037,0.0851,0.2954,Deterrence,59.479,18.722,0.0385,0.0818,-0.819,-0.547,0
0.3,0.0714,2024,Deterrence,60.79,21.043,0.0355,0.0947,0.2944,Deterrence,60.026,20.701,0.0374,0.0922,-0.765,-0.342,0
0.3,0.1429,42,Deterrence,43.862,22.403,0.0767,0.0892,0.2855,Deterrence,44.805,22.067,0.0743,0.0881,0.943,-0.336,0
