x_val,y_val,regime,mean_lpay,x_attr,y_attr,n_seeds
0.0000,0.1000,Deterrence,31.8438,rho_max,tau_max,10
0.0714,0.1000,Transition,13.9028,rho_max,tau_max,10
0.1429,0.1000,Transition,-0.4635,rho_max,tau_max,10
0.2143,0.1000,Multiple,-13.2913,rho_max,tau_max,10
0.2857,0.1000,Escalation,-27.5569,rho_max,tau_max,10
0.3571,0.1000,Escalation,-41.9527,rho_max,tau_max,10
0.4286,0.1000,Escalation,-50.1857,rho_max,tau_max,10
0.5000,0.1000,Escalation,-61.8279,rho_max,tau_max,10
0.0000,0.1500,Deterrence,47.8056,rho_max,tau_max,10
0.0714,0.1500,Deterrence,28.0393,rho_max,tau_max,10
0.1429,0.1500,Transition,14.2345,rho_max,tau_max,10
0.2143,0.1500,Transition,-5.4250,rho_max,tau_max,10
0.2857,0.1500,Escalation,-19.6356,rho_max,tau_max,10
0.3571,0.1500,Escalation,-26.7304,rho_max,tau_max,10
0.4286,0.1500,Escalation,-36.0997,rho_max,tau_max,10
0.5000,0.1500,Escalation,-53.9379,rho_max,tau_max,10
0.0000,0.2000,Deterrence,61.1631,rho_max,tau_max,10
0.0714,0.2000,Deterrence,40.1907,rho_max,tau_max,10
0.1429,0.2000,Deterrence,21.7226,rho_max,tau_max,10
0.2143,0.2000,Transition,5.1028,rho_max,tau_max,10
0.2857,0.2000,Multiple,-13.6779,rho_max,tau_max,10
0.3571,0.2000,Escalation,-22.5426,rho_max,tau_max,10
0.4286,0.2000,Escalation,-34.3438,rho_max,tau_max,10
0.5000,0.2000,Escalation,-46.4516,rho_max,tau_max,10
0.0000,0.2500,Deterrence,69.6843,rho_max,tau_max,10
0.0714,0.2500,Deterrence,51.9776,rho_max,tau_max,10
0.1429,0.2500,Deterrence,32.5491,rho_max,tau_max,10
0.2143,0.2500,Deterrence,14.3203,rho_max,tau_max,10
0.2857,0.2500,Transition,-0.2669,rho_max,tau_max,10
0.3571,0.2500,Transition,-14.2056,rho_max,tau_max,10
0.4286,0.2500,Escalation,-28.7189,rho_max,tau_max,10
0.5000,0.2500,Escalation,-40.2070,rho_max,tau_max,10
0.0000,0.3000,Deterrence,76.2038,rho_max,tau_max,10
0.0714,0.3000,Deterrence,59.0728,rho_max,tau_max,10
0.1429,0.3000,Deterrence,35.4466,rho_max,tau_max,10
0.2143,0.3000,Deterrence,22.3502,rho_max,tau_max,10
0.2857,0.3000,Transition,4.2674,rho_max,tau_max,10
0.3571,0.3000,Transition,-10.8552,rho_max,tau_max,10
0.4286,0.3000,Escalation,-24.9020,rho_max,tau_max,10
0.5000,0.3000,Escalation,-34.4941,rho_max,tau_max,10
0.0000,0.3500,Deterrence,81.0106,rho_max,tau_max,10
0.0714,0.3500,Deterrence,63.7427,rho_max,tau_max,10
0.1429,0.3500,Deterrence,43.5877,rho_max,tau_max,10
0.2143,0.3500,Deterrence,24.6607,rho_max,tau_max,10
0.2857,0.3500,Transition,6.4648,rho_max,tau_max,10
0.3571,0.3500,Transition,-6.0526,rho_max,tau_max,10
0.4286,0.3500,Escalation,-27.6697,rho_max,tau_max,10
0.5000,0.3500,Escalation,-25.8420,rho_max,tau_max,10
0.0000,0.4000,Deterrence,84.3009,rho_max,tau_max,10
0.0714,0.4000,Deterrence,64.9515,rho_max,tau_max,10
0.1429,0.4000,Deterrence,45.1238,rho_max,tau_max,10
0.2143,0.4000,Deterrence,28.5956,rho_max,tau_max,10
0.2857,0.4000,Transition,8.3714,rho_max,tau_max,10
0.3571,0.4000,Transition,-5.9798,rho_max,tau_max,10
0.4286,0.4000,Transition,-15.4882,rho_max,tau_max,10
0.5000,0.4000,Escalation,-19.1506,rho_max,tau_max,10
0.0000,0.4500,Deterrence,86.2629,rho_max,tau_max,10
0.0714,0.4500,Deterrence,66.3289,rho_max,tau_max,10
0.1429,0.4500,Deterrence,46.6363,rho_max,tau_max,10
0.2143,0.4500,Deterrence,30.0314,rho_max,tau_max,10
0.2857,0.4500,Transition,10.3658,rho_max,tau_max,10
0.3571,0.4500,Transition,-1.4786,rho_max,tau_max,10
0.4286,0.4500,Transition,-9.0259,rho_max,tau_max,10
0.5000,0.4500,Escalation,-20.7781,rho_max,tau_max,10
