x_val,y_val,regime,mean_lpay,x_attr,y_attr,n_seeds
0.0000,0.1000,Deterrence,32.8261,rho_max,tau_max,10
0.0714,0.1000,Transition,14.6115,rho_max,tau_max,10
0.1429,0.1000,Transition,1.9528,rho_max,tau_max,10
0.2143,0.1000,Transition,-11.6078,rho_max,tau_max,10
0.2857,0.1000,Escalation,-30.8562,rho_max,tau_max,10
0.3571,0.1000,Escalation,-41.0891,rho_max,tau_max,10
0.4286,0.1000,Escalation,-46.1982,rho_max,tau_max,10
0.5000,0.1000,Escalation,-56.5164,rho_max,tau_max,10
0.0000,0.1500,Deterrence,47.7906,rho_max,tau_max,10
0.0714,0.1500,Deterrence,27.7491,rho_max,tau_max,10
0.1429,0.1500,Transition,12.0357,rho_max,tau_max,10
0.2143,0.1500,Transition,-4.4861,rho_max,tau_max,10
0.2857,0.1500,Escalation,-17.3401,rho_max,tau_max,10
0.3571,0.1500,Escalation,-31.0729,rho_max,tau_max,10
0.4286,0.1500,Escalation,-39.4328,rho_max,tau_max,10
0.5000,0.1500,Escalation,-55.9390,rho_max,tau_max,10
0.0000,0.2000,Deterrence,61.1635,rho_max,tau_max,10
0.0714,0.2000,Deterrence,40.6132,rho_max,tau_max,10
0.1429,0.2000,Deterrence,24.0397,rho_max,tau_max,10
0.2143,0.2000,Transition,2.1573,rho_max,tau_max,10
0.2857,0.2000,Transition,-13.5732,rho_max,tau_max,10
0.3571,0.2000,Escalation,-28.6281,rho_max,tau_max,10
0.4286,0.2000,Escalation,-36.2371,rho_max,tau_max,10
0.5000,0.2000,Escalation,-46.4129,rho_max,tau_max,10
0.0000,0.2500,Deterrence,69.6830,rho_max,tau_max,10
0.0714,0.2500,Deterrence,54.5722,rho_max,tau_max,10
0.1429,0.2500,Deterrence,36.0393,rho_max,tau_max,10
0.2143,0.2500,Deterrence,12.7529,rho_max,tau_max,10
0.2857,0.2500,Transition,1.9397,rho_max,tau_max,10
0.3571,0.2500,Multiple,-15.2642,rho_max,tau_max,10
0.4286,0.2500,Escalation,-26.6844,rho_max,tau_max,10
0.5000,0.2500,Escalation,-42.5976,rho_max,tau_max,10
0.0000,0.3000,Deterrence,76.1496,rho_max,tau_max,10
0.0714,0.3000,Deterrence,57.7070,rho_max,tau_max,10
0.1429,0.3000,Deterrence,39.1932,rho_max,tau_max,10
0.2143,0.3000,Deterrence,20.1550,rho_max,tau_max,10
0.2857,0.3000,Transition,3.1496,rho_max,tau_max,10
0.3571,0.3000,Transition,-4.3290,rho_max,tau_max,10
0.4286,0.3000,Escalation,-22.3112,rho_max,tau_max,10
0.5000,0.3000,Escalation,-28.7528,rho_max,tau_max,10
0.0000,0.3500,Deterrence,80.9995,rho_max,tau_max,10
0.0714,0.3500,Deterrence,62.2696,rho_max,tau_max,10
0.1429,0.3500,Deterrence,42.5410,rho_max,tau_max,10
0.2143,0.3500,Deterrence,24.5508,rho_max,tau_max,10
0.2857,0.3500,Multiple,15.4375,rho_max,tau_max,10
0.3571,0.3500,Transition,-0.9120,rho_max,tau_max,10
0.4286,0.3500,Multiple,-14.9948,rho_max,tau_max,10
0.5000,0.3500,Escalation,-25.1366,rho_max,tau_max,10
0.0000,0.4000,Deterrence,84.3089,rho_max,tau_max,10
0.0714,0.4000,Deterrence,68.8506,rho_max,tau_max,10
0.1429,0.4000,Deterrence,47.0760,rho_max,tau_max,10
0.2143,0.4000,Deterrence,31.2447,rho_max,tau_max,10
0.2857,0.4000,Transition,14.4164,rho_max,tau_max,10
0.3571,0.4000,Transition,-2.8078,rho_max,tau_max,10
0.4286,0.4000,Multiple,-14.4238,rho_max,tau_max,10
0.5000,0.4000,Escalation,-22.4581,rho_max,tau_max,10
0.0000,0.4500,Deterrence,86.2637,rho_max,tau_max,10
0.0714,0.4500,Deterrence,66.3254,rho_max,tau_max,10
0.1429,0.4500,Deterrence,47.7388,rho_max,tau_max,10
0.2143,0.4500,Deterrence,29.5909,rho_max,tau_max,10
0.2857,0.4500,Deterrence,19.1845,rho_max,tau_max,10
0.3571,0.4500,Transition,0.9210,rho_max,tau_max,10
0.4286,0.4500,Transition,-4.3251,rho_max,tau_max,10
0.5000,0.4500,Transition,-10.2602,rho_max,tau_max,10
