x_val,y_val,seed,mean_lpay
0.0000,0.1000,42,31.4118
0.0000,0.1000,123,29.7156
0.0000,0.1000,777,29.5425
0.0000,0.1000,999,32.6378
0.0000,0.1000,2024,31.7080
0.0000,0.1000,314,33.7352
0.0000,0.1000,1066,34.7664
0.0000,0.1000,53,30.0375
0.0000,0.1000,160,33.8198
0.0000,0.1000,1031,31.0634
0.1429,0.1000,42,-2.8409
0.1429,0.1000,123,-0.9106
0.1429,0.1000,777,-5.2384
0.1429,0.1000,999,-3.2075
0.1429,0.1000,2024,12.1485
0.1429,0.1000,314,4.1379
0.1429,0.1000,1066,-2.3394
0.1429,0.1000,53,-5.4650
0.1429,0.1000,160,-2.0348
0.1429,0.1000,1031,1.1155
0.0714,0.1000,42,18.9740
0.0714,0.1000,123,10.7855
0.0714,0.1000,777,9.6626
0.0714,0.1000,999,14.5226
0.0714,0.1000,2024,5.9000
0.0714,0.1000,314,11.5042
0.0714,0.1000,1066,29.0225
0.0714,0.1000,53,10.5010
0.0714,0.1000,160,14.5584
0.0714,0.1000,1031,13.5973
0.2143,0.1000,42,-16.9777
0.2143,0.1000,123,-16.9779
0.2143,0.1000,777,-29.4919
0.2143,0.1000,999,-14.8630
0.2143,0.1000,2024,-15.3479
0.2143,0.1000,314,-11.0783
0.2143,0.1000,1066,-19.1133
0.2143,0.1000,53,-11.7313
0.2143,0.1000,160,-9.1129
0.2143,0.1000,1031,11.7815
0.2857,0.1000,42,-32.9950
0.2857,0.1000,123,-27.2100
0.2857,0.1000,777,-46.4213
0.2857,0.1000,999,-22.1927
0.2857,0.1000,2024,-14.4042
0.2857,0.1000,314,-24.8383
0.2857,0.1000,1066,-24.6989
0.2857,0.1000,53,-28.6338
0.2857,0.1000,160,-27.3262
0.2857,0.1000,1031,-26.8491
0.3571,0.1000,42,-43.4804
0.3571,0.1000,123,-37.7045
0.3571,0.1000,777,-49.5307
0.3571,0.1000,999,-56.1724
0.3571,0.1000,2024,-42.6413
0.3571,0.1000,314,-38.1267
0.3571,0.1000,1066,-39.9417
0.3571,0.1000,53,-41.2586
0.3571,0.1000,160,-32.7418
0.3571,0.1000,1031,-37.9283
0.0000,0.1500,42,48.5299
0.0000,0.1500,123,48.6531
0.0000,0.1500,777,48.4428
0.0000,0.1500,999,50.0787
0.0000,0.1500,2024,47.3740
0.0000,0.1500,314,46.6761
0.0000,0.1500,1066,48.8445
0.0000,0.1500,53,45.5987
0.0000,0.1500,160,47.4277
