x_val,y_val,seed,mean_lpay
0.0000,0.1000,42,30.9289
0.0000,0.1000,123,32.4878
0.0000,0.1000,777,35.7552
0.0000,0.1000,999,33.8988
0.0000,0.1000,2024,30.8324
0.0000,0.1000,314,33.5070
0.0000,0.1000,1066,33.7009
0.0000,0.1000,53,33.6556
0.0000,0.1000,160,35.2727
0.0000,0.1000,1031,34.4152
0.2143,0.1000,42,-9.8191
0.2143,0.1000,123,-11.5678
0.2143,0.1000,777,-27.0140
0.2143,0.1000,999,-23.9991
0.2143,0.1000,2024,-15.4974
0.2143,0.1000,314,-2.8936
0.2143,0.1000,1066,-14.2941
0.2143,0.1000,53,-9.4608
0.2143,0.1000,160,-10.7884
0.2143,0.1000,1031,-13.7775
0.1429,0.1000,42,-0.5175
0.1429,0.1000,123,9.0212
0.1429,0.1000,777,-3.4150
0.1429,0.1000,999,18.2027
0.1429,0.1000,2024,-1.6594
0.1429,0.1000,314,4.6373
0.1429,0.1000,1066,-2.9118
0.1429,0.1000,53,6.5352
0.1429,0.1000,160,3.8118
0.1429,0.1000,1031,3.6719
0.0714,0.1000,42,16.5376
0.0714,0.1000,123,17.6592
0.0714,0.1000,777,15.4839
0.0714,0.1000,999,14.7469
0.0714,0.1000,2024,16.0149
0.0714,0.1000,314,14.7674
0.0714,0.1000,1066,18.0122
0.0714,0.1000,53,12.0650
0.0714,0.1000,160,16.5188
0.0714,0.1000,1031,11.4849
0.3571,0.1000,42,-41.0722
0.3571,0.1000,123,-42.1063
0.3571,0.1000,777,-36.3809
0.3571,0.1000,999,-35.7759
0.3571,0.1000,2024,-40.1675
0.3571,0.1000,314,-31.5962
0.3571,0.1000,1066,-37.9542
0.3571,0.1000,53,-40.8203
0.3571,0.1000,160,-39.9787
0.3571,0.1000,1031,-54.6127
0.2857,0.1000,42,-26.7605
0.2857,0.1000,123,-4.7146
0.2857,0.1000,777,-22.0912
0.2857,0.1000,999,-24.9143
0.2857,0.1000,2024,-23.6623
0.2857,0.1000,314,-25.4572
0.2857,0.1000,1066,-33.3189
