x_val,y_val,regime,mean_lpay,x_attr,y_attr,n_seeds
0.0000,0.1000,Deterrence,33.4454,rho_max,tau_max,10
0.0714,0.1000,Deterrence,15.3291,rho_max,tau_max,10
0.1429,0.1000,Transition,3.7376,rho_max,tau_max,10
0.2143,0.1000,Transition,-13.9112,rho_max,tau_max,10
0.2857,0.1000,Escalation,-23.5069,rho_max,tau_max,10
0.3571,0.1000,Escalation,-40.0465,rho_max,tau_max,10
0.4286,0.1000,Escalation,-47.4993,rho_max,tau_max,10
0.5000,0.1000,Escalation,-64.4833,rho_max,tau_max,10
0.0000,0.1500,Deterrence,48.0194,rho_max,tau_max,10
0.0714,0.1500,Deterrence,28.3317,rho_max,tau_max,10
0.1429,0.1500,Transition,11.2751,rho_max,tau_max,10
0.2143,0.1500,Transition,-2.2958,rho_max,tau_max,10
0.2857,0.1500,Escalation,-20.6658,rho_max,tau_max,10
0.3571,0.1500,Escalation,-28.6252,rho_max,tau_max,10
0.4286,0.1500,Escalation,-48.4512,rho_max,tau_max,10
0.5000,0.1500,Escalation,-52.1024,rho_max,tau_max,10
0.0000,0.2000,Deterrence,61.1611,rho_max,tau_max,10
0.0714,0.2000,Deterrence,39.6069,rho_max,tau_max,10
0.1429,0.2000,Deterrence,22.9863,rho_max,tau_max,10
0.2143,0.2000,Transition,3.6033,rho_max,tau_max,10
0.2857,0.2000,Transition,-8.7919,rho_max,tau_max,10
0.3571,0.2000,Escalation,-19.9779,rho_max,tau_max,10
0.4286,0.2000,Escalation,-37.6080,rho_max,tau_max,10
0.5000,0.2000,Escalation,-49.5276,rho_max,tau_max,10
0.0000,0.2500,Deterrence,69.6660,rho_max,tau_max,10
0.0714,0.2500,Deterrence,55.0125,rho_max,tau_max,10
0.1429,0.2500,Deterrence,30.2965,rho_max,tau_max,10
0.2143,0.2500,Transition,10.7328,rho_max,tau_max,10
0.2857,0.2500,Transition,4.3389,rho_max,tau_max,10
0.3571,0.2500,Transition,-16.4142,rho_max,tau_max,10
0.4286,0.2500,Escalation,-28.8212,rho_max,tau_max,10
0.5000,0.2500,Escalation,-45.7566,rho_max,tau_max,10
0.0000,0.3000,Deterrence,75.9701,rho_max,tau_max,10
0.0714,0.3000,Deterrence,59.8433,rho_max,tau_max,10
0.1429,0.3000,Deterrence,39.8039,rho_max,tau_max,10
0.2143,0.3000,Deterrence,20.5784,rho_max,tau_max,10
0.2857,0.3000,Transition,1.2550,rho_max,tau_max,10
0.3571,0.3000,Multiple,-14.9784,rho_max,tau_max,10
0.4286,0.3000,Multiple,-18.8898,rho_max,tau_max,10
0.5000,0.3000,Escalation,-29.1345,rho_max,tau_max,10
0.0000,0.3500,Deterrence,80.9251,rho_max,tau_max,10
0.0714,0.3500,Deterrence,63.1354,rho_max,tau_max,10
0.1429,0.3500,Deterrence,42.6317,rho_max,tau_max,10
0.2143,0.3500,Deterrence,21.4528,rho_max,tau_max,10
0.2857,0.3500,Transition,9.4899,rho_max,tau_max,10
0.3571,0.3500,Transition,-2.7951,rho_max,tau_max,10
0.4286,0.3500,Escalation,-20.8895,rho_max,tau_max,10
0.5000,0.3500,Escalation,-20.4502,rho_max,tau_max,10
0.0000,0.4000,Deterrence,84.2257,rho_max,tau_max,10
0.0714,0.4000,Deterrence,66.7873,rho_max,tau_max,10
0.1429,0.4000,Deterrence,43.7690,rho_max,tau_max,10
0.2143,0.4000,Deterrence,31.0648,rho_max,tau_max,10
0.2857,0.4000,Transition,7.7904,rho_max,tau_max,10
0.3571,0.4000,Transition,-6.1040,rho_max,tau_max,10
0.4286,0.4000,Multiple,-11.7957,rho_max,tau_max,10
0.5000,0.4000,Escalation,-22.0100,rho_max,tau_max,10
0.0000,0.4500,Deterrence,86.2186,rho_max,tau_max,10
0.0714,0.4500,Deterrence,66.8847,rho_max,tau_max,10
0.1429,0.4500,Deterrence,46.5339,rho_max,tau_max,10
0.2143,0.4500,Deterrence,30.6463,rho_max,tau_max,10
0.2857,0.4500,Deterrence,19.5652,rho_max,tau_max,10
0.3571,0.4500,Transition,5.3623,rho_max,tau_max,10
0.4286,0.4500,Transition,-1.0706,rho_max,tau_max,10
0.5000,0.4500,Transition,-10.6979,rho_max,tau_max,10
