x_val,y_val,regime,mean_lpay,x_attr,y_attr,n_seeds
0.0000,0.1000,Deterrence,31.8622,rho_max,tau_max,10
0.0714,0.1000,Deterrence,17.9873,rho_max,tau_max,10
0.1429,0.1000,Transition,3.7744,rho_max,tau_max,10
0.2143,0.1000,Transition,-9.4741,rho_max,tau_max,10
0.2857,0.1000,Escalation,-21.9831,rho_max,tau_max,10
0.3571,0.1000,Escalation,-32.2578,rho_max,tau_max,10
0.4286,0.1000,Escalation,-42.0965,rho_max,tau_max,10
0.5000,0.1000,Escalation,-51.1521,rho_max,tau_max,10
0.0000,0.1500,Deterrence,46.3903,rho_max,tau_max,10
0.0714,0.1500,Deterrence,32.4373,rho_max,tau_max,10
0.1429,0.1500,Deterrence,17.4823,rho_max,tau_max,10
0.2143,0.1500,Transition,4.3075,rho_max,tau_max,10
0.2857,0.1500,Transition,-8.3328,rho_max,tau_max,10
0.3571,0.1500,Escalation,-20.1881,rho_max,tau_max,10
0.4286,0.1500,Escalation,-30.1158,rho_max,tau_max,10
0.5000,0.1500,Escalation,-39.8374,rho_max,tau_max,10
0.0000,0.2000,Deterrence,61.1626,rho_max,tau_max,10
0.0714,0.2000,Deterrence,43.9064,rho_max,tau_max,10
0.1429,0.2000,Deterrence,27.9731,rho_max,tau_max,10
0.2143,0.2000,Deterrence,14.5950,rho_max,tau_max,10
0.2857,0.2000,Transition,2.9439,rho_max,tau_max,10
0.3571,0.2000,Transition,-8.7172,rho_max,tau_max,10
0.4286,0.2000,Escalation,-18.3702,rho_max,tau_max,10
0.5000,0.2000,Escalation,-29.3944,rho_max,tau_max,10
0.0000,0.2500,Deterrence,69.6660,rho_max,tau_max,10
0.0714,0.2500,Deterrence,52.7075,rho_max,tau_max,10
0.1429,0.2500,Deterrence,36.9038,rho_max,tau_max,10
0.2143,0.2500,Deterrence,22.9116,rho_max,tau_max,10
0.2857,0.2500,Transition,10.4760,rho_max,tau_max,10
0.3571,0.2500,Transition,-0.5946,rho_max,tau_max,10
0.4286,0.2500,Transition,-10.7100,rho_max,tau_max,10
0.5000,0.2500,Escalation,-21.6764,rho_max,tau_max,10
0.0000,0.3000,Deterrence,76.1860,rho_max,tau_max,10
0.0714,0.3000,Deterrence,60.1451,rho_max,tau_max,10
0.1429,0.3000,Deterrence,44.2047,rho_max,tau_max,10
0.2143,0.3000,Deterrence,30.6071,rho_max,tau_max,10
0.2857,0.3000,Deterrence,17.4523,rho_max,tau_max,10
0.3571,0.3000,Transition,7.1826,rho_max,tau_max,10
0.4286,0.3000,Transition,-4.2602,rho_max,tau_max,10
0.5000,0.3000,Multiple,-15.1060,rho_max,tau_max,10
0.0000,0.3500,Deterrence,81.0028,rho_max,tau_max,10
0.0714,0.3500,Deterrence,64.8426,rho_max,tau_max,10
0.1429,0.3500,Deterrence,49.3526,rho_max,tau_max,10
0.2143,0.3500,Deterrence,35.7245,rho_max,tau_max,10
0.2857,0.3500,Deterrence,22.6072,rho_max,tau_max,10
0.3571,0.3500,Transition,10.9148,rho_max,tau_max,10
0.4286,0.3500,Transition,0.4333,rho_max,tau_max,10
0.5000,0.3500,Transition,-10.2326,rho_max,tau_max,10
0.0000,0.4000,Deterrence,84.2957,rho_max,tau_max,10
0.0714,0.4000,Deterrence,67.8961,rho_max,tau_max,10
0.1429,0.4000,Deterrence,52.8432,rho_max,tau_max,10
0.2143,0.4000,Deterrence,38.6918,rho_max,tau_max,10
0.2857,0.4000,Deterrence,26.0459,rho_max,tau_max,10
0.3571,0.4000,Transition,14.2674,rho_max,tau_max,10
0.4286,0.4000,Transition,0.1893,rho_max,tau_max,10
0.5000,0.4000,Transition,-8.4595,rho_max,tau_max,10
0.0000,0.4500,Deterrence,86.2510,rho_max,tau_max,10
0.0714,0.4500,Deterrence,70.1119,rho_max,tau_max,10
0.1429,0.4500,Deterrence,54.9132,rho_max,tau_max,10
0.2143,0.4500,Deterrence,41.1776,rho_max,tau_max,10
0.2857,0.4500,Deterrence,27.8526,rho_max,tau_max,10
0.3571,0.4500,Deterrence,15.5541,rho_max,tau_max,10
0.4286,0.4500,Transition,2.8019,rho_max,tau_max,10
0.5000,0.4500,Transition,-5.5282,rho_max,tau_max,10
