x_val,y_val,seed,mean_lpay
0.0000,0.1000,42,31.2313
0.0000,0.1000,123,31.0239
0.0000,0.1000,777,32.1025
0.0000,0.1000,999,30.2244
0.0000,0.1000,2024,33.2381
0.0000,0.1000,314,31.1799
0.0000,0.1000,1066,33.4265
0.0000,0.1000,53,32.7186
0.0000,0.1000,160,32.0926
0.0000,0.1000,1031,31.3845
0.0714,0.1000,42,18.0527
0.0714,0.1000,123,18.4899
0.0714,0.1000,777,18.9077
0.0714,0.1000,999,18.4767
0.0714,0.1000,2024,18.7284
0.0714,0.1000,314,18.4586
0.0714,0.1000,1066,16.6120
0.0714,0.1000,53,19.0023
0.0714,0.1000,160,17.5408
0.0714,0.1000,1031,15.6040
0.1429,0.1000,42,2.8525
0.1429,0.1000,123,1.7121
0.1429,0.1000,777,0.5812
0.1429,0.1000,999,4.5346
0.1429,0.1000,2024,4.4420
0.1429,0.1000,314,4.4585
0.1429,0.1000,1066,4.5770
0.1429,0.1000,53,5.6496
0.1429,0.1000,160,3.7883
0.1429,0.1000,1031,5.1487
0.2857,0.1000,42,-20.3968
0.2857,0.1000,123,-20.3553
0.2857,0.1000,777,-26.4331
0.2857,0.1000,999,-23.7396
0.2857,0.1000,2024,-23.0796
0.2857,0.1000,314,-22.5898
0.2857,0.1000,1066,-19.8886
0.2857,0.1000,53,-22.6729
0.2857,0.1000,160,-20.8480
0.2857,0.1000,1031,-19.8275
0.3571,0.1000,42,-32.3751
0.3571,0.1000,123,-33.3373
0.3571,0.1000,777,-30.9986
0.3571,0.1000,999,-33.0922
0.3571,0.1000,2024,-33.5432
0.3571,0.1000,314,-32.7973
0.3571,0.1000,1066,-31.9729
0.3571,0.1000,53,-32.6205
0.3571,0.1000,160,-28.9699
0.3571,0.1000,1031,-32.8716
0.2143,0.1000,42,-11.8506
0.2143,0.1000,123,-8.5740
0.2143,0.1000,777,-7.8605
0.2143,0.1000,999,-9.1493
0.2143,0.1000,2024,-10.7037
0.2143,0.1000,314,-9.9190
0.2143,0.1000,1066,-7.4363
0.2143,0.1000,53,-11.1098
0.2143,0.1000,160,-9.1789
0.2143,0.1000,1031,-8.9589
0.0000,0.1500,42,46.6155
0.0000,0.1500,123,47.0484
0.0000,0.1500,777,46.7899
0.0000,0.1500,999,47.5619
0.0000,0.1500,2024,46.4217
0.0000,0.1500,314,46.1578
0.0000,0.1500,1066,46.5334
0.0000,0.1500,53,42.8185
0.0000,0.1500,160,45.8912
0.0000,0.1500,1031,48.0644
0.4286,0.1000,42,-41.5806
0.4286,0.1000,123,-40.9121
0.4286,0.1000,777,-41.5547
0.4286,0.1000,999,-40.1070
0.4286,0.1000,2024,-42.9393
0.4286,0.1000,314,-42.0741
0.4286,0.1000,1066,-44.1431
0.4286,0.1000,53,-43.1454
0.4286,0.1000,160,-42.8190
0.4286,0.1000,1031,-41.6896
0.0714,0.1500,42,31.2697
0.0714,0.1500,123,30.9228
0.0714,0.1500,777,32.6377
0.0714,0.1500,999,33.0941
0.0714,0.1500,2024,33.1862
0.0714,0.1500,314,33.0062
0.0714,0.1500,1066,31.3102
0.0714,0.1500,53,33.1001
0.0714,0.1500,160,33.3070
0.0714,0.1500,1031,32.5389
0.1429,0.1500,42,15.0724
0.1429,0.1500,123,19.0689
0.1429,0.1500,777,17.2106
0.1429,0.1500,999,18.2444
0.1429,0.1500,2024,18.0037
0.1429,0.1500,314,15.2176
0.1429,0.1500,1066,16.2802
0.1429,0.1500,53,17.8990
0.1429,0.1500,160,19.4914
0.1429,0.1500,1031,18.3344
0.5000,0.1000,42,-48.8758
0.5000,0.1000,123,-51.1181
0.5000,0.1000,777,-54.3307
0.5000,0.1000,999,-52.3241
0.5000,0.1000,2024,-52.6750
0.5000,0.1000,314,-48.8926
0.5000,0.1000,1066,-51.6166
0.5000,0.1000,53,-49.8984
0.5000,0.1000,160,-50.7328
0.5000,0.1000,1031,-51.0566
0.2143,0.1500,42,5.5059
0.2143,0.1500,123,4.5492
0.2143,0.1500,777,3.1002
0.2143,0.1500,999,5.5086
0.2143,0.1500,2024,3.4340
0.2143,0.1500,314,4.7326
0.2143,0.1500,1066,3.6291
0.2143,0.1500,53,4.0068
0.2143,0.1500,160,4.7256
0.2143,0.1500,1031,3.8826
0.0000,0.2000,42,61.1644
0.0000,0.2000,123,61.1561
0.0000,0.2000,777,61.1588
0.0000,0.2000,999,61.1582
0.0000,0.2000,2024,61.1659
0.0000,0.2000,314,61.1637
0.0000,0.2000,1066,61.1589
0.0000,0.2000,53,61.1671
0.0000,0.2000,160,61.1722
0.0000,0.2000,1031,61.1604
0.2857,0.1500,42,-9.2133
0.2857,0.1500,123,-8.8594
0.2857,0.1500,777,-11.1653
0.2857,0.1500,999,-7.7625
0.2857,0.1500,2024,-12.9257
0.2857,0.1500,314,-6.9423
0.2857,0.1500,1066,-8.6276
0.2857,0.1500,53,-6.7789
0.2857,0.1500,160,-5.3916
0.2857,0.1500,1031,-5.6612
0.3571,0.1500,42,-18.5312
0.3571,0.1500,123,-25.6003
0.3571,0.1500,777,-18.3426
0.3571,0.1500,999,-18.4292
0.3571,0.1500,2024,-19.7381
0.3571,0.1500,314,-18.8769
0.3571,0.1500,1066,-21.6251
0.3571,0.1500,53,-17.9450
0.3571,0.1500,160,-22.2657
0.3571,0.1500,1031,-20.5263
0.0714,0.2000,42,44.4084
0.0714,0.2000,123,42.5127
0.0714,0.2000,777,44.7668
0.0714,0.2000,999,44.5624
0.0714,0.2000,2024,44.3081
0.0714,0.2000,314,43.0267
0.0714,0.2000,1066,43.2626
0.0714,0.2000,53,44.9828
0.0714,0.2000,160,43.0006
0.0714,0.2000,1031,44.2331
0.4286,0.1500,42,-26.1000
0.4286,0.1500,123,-33.0458
0.4286,0.1500,777,-30.8836
0.4286,0.1500,999,-29.6500
0.4286,0.1500,2024,-28.5508
0.4286,0.1500,314,-29.1071
0.4286,0.1500,1066,-30.5863
0.4286,0.1500,53,-30.5809
0.4286,0.1500,160,-34.1059
0.4286,0.1500,1031,-28.5474
0.5000,0.1500,42,-42.2113
0.5000,0.1500,123,-35.5562
0.5000,0.1500,777,-37.6299
0.5000,0.1500,999,-42.3877
0.5000,0.1500,2024,-42.0424
0.5000,0.1500,314,-39.0142
0.5000,0.1500,1066,-40.9424
0.5000,0.1500,53,-35.6833
0.5000,0.1500,160,-41.7034
0.5000,0.1500,1031,-41.2037
0.1429,0.2000,42,29.0219
0.1429,0.2000,123,28.7807
0.1429,0.2000,777,25.3650
0.1429,0.2000,999,29.1433
0.1429,0.2000,2024,25.8749
0.1429,0.2000,314,28.9404
0.1429,0.2000,1066,27.3996
0.1429,0.2000,53,29.6482
0.1429,0.2000,160,28.0991
0.1429,0.2000,1031,27.4575
0.2143,0.2000,42,15.1979
0.2143,0.2000,123,9.9221
0.2143,0.2000,777,15.9908
0.2143,0.2000,999,16.4600
0.2143,0.2000,2024,15.5433
0.2143,0.2000,314,10.8335
0.2143,0.2000,1066,14.4439
0.2143,0.2000,53,13.4774
0.2143,0.2000,160,15.9802
0.2143,0.2000,1031,18.1009
0.2857,0.2000,42,4.6348
0.2857,0.2000,123,3.8974
0.2857,0.2000,777,2.9122
0.2857,0.2000,999,3.4257
0.2857,0.2000,2024,2.3483
0.2857,0.2000,314,4.9819
0.2857,0.2000,1066,3.3434
0.2857,0.2000,53,2.0672
0.2857,0.2000,160,3.4223
0.2857,0.2000,1031,-1.5945
0.0000,0.2500,42,69.6802
0.0000,0.2500,123,69.6609
0.0000,0.2500,777,69.6557
0.0000,0.2500,999,69.6688
0.0000,0.2500,2024,69.6628
0.0000,0.2500,314,69.6628
0.0000,0.2500,1066,69.6744
0.0000,0.2500,53,69.6634
0.0000,0.2500,160,69.6692
0.0000,0.2500,1031,69.6614
0.3571,0.2000,42,-9.1243
0.3571,0.2000,123,-9.2294
0.3571,0.2000,777,-10.0460
0.3571,0.2000,999,-11.2945
0.3571,0.2000,2024,-5.1244
0.3571,0.2000,314,-11.4000
0.3571,0.2000,1066,-7.3634
0.3571,0.2000,53,-7.0746
0.3571,0.2000,160,-9.6284
0.3571,0.2000,1031,-6.8875
0.4286,0.2000,42,-17.6778
0.4286,0.2000,123,-20.4534
0.4286,0.2000,777,-15.4335
0.4286,0.2000,999,-17.4843
0.4286,0.2000,2024,-17.6694
0.4286,0.2000,314,-16.9025
0.4286,0.2000,1066,-17.8093
0.4286,0.2000,53,-17.4142
0.4286,0.2000,160,-21.7311
0.4286,0.2000,1031,-21.1263
0.5000,0.2000,42,-28.0756
0.5000,0.2000,123,-28.6817
0.5000,0.2000,777,-28.0323
0.5000,0.2000,999,-29.6694
0.5000,0.2000,2024,-30.5046
0.5000,0.2000,314,-32.4711
0.5000,0.2000,1066,-32.4879
0.5000,0.2000,53,-30.3902
0.5000,0.2000,160,-28.3904
0.5000,0.2000,1031,-25.2405
0.0714,0.2500,42,53.1539
0.0714,0.2500,123,52.1526
0.0714,0.2500,777,53.1739
0.0714,0.2500,999,51.4957
0.0714,0.2500,2024,51.9931
0.0714,0.2500,314,52.9003
0.0714,0.2500,1066,52.5551
0.0714,0.2500,53,54.3546
0.0714,0.2500,160,51.5516
0.0714,0.2500,1031,53.7439
0.1429,0.2500,42,37.6142
0.1429,0.2500,123,37.6749
0.1429,0.2500,777,37.8269
0.1429,0.2500,999,37.5943
0.1429,0.2500,2024,37.0285
0.1429,0.2500,314,34.7861
0.1429,0.2500,1066,36.4627
0.1429,0.2500,53,38.0334
0.1429,0.2500,160,36.8429
0.1429,0.2500,1031,35.1737
0.2143,0.2500,42,22.2442
0.2143,0.2500,123,22.6467
0.2143,0.2500,777,22.8265
0.2143,0.2500,999,23.0573
0.2143,0.2500,2024,24.0730
0.2143,0.2500,314,23.2835
0.2143,0.2500,1066,22.7500
0.2143,0.2500,53,22.8103
0.2143,0.2500,160,22.4277
0.2143,0.2500,1031,22.9969
0.2857,0.2500,42,10.9240
0.2857,0.2500,123,11.9877
0.2857,0.2500,777,9.8302
0.2857,0.2500,999,13.8044
0.2857,0.2500,2024,8.1387
0.2857,0.2500,314,12.3895
0.2857,0.2500,1066,12.7586
0.2857,0.2500,53,4.9038
0.2857,0.2500,160,9.9741
0.2857,0.2500,1031,10.0487
0.0000,0.3000,42,76.1851
0.0000,0.3000,123,76.1722
0.0000,0.3000,777,76.1858
0.0000,0.3000,999,76.1834
0.0000,0.3000,2024,76.1909
0.0000,0.3000,314,76.1709
0.0000,0.3000,1066,76.1609
0.0000,0.3000,53,76.1944
0.0000,0.3000,160,76.2086
0.0000,0.3000,1031,76.2082
0.3571,0.2500,42,0.3985
0.3571,0.2500,123,0.6956
0.3571,0.2500,777,-0.3232
0.3571,0.2500,999,-1.2006
0.3571,0.2500,2024,-1.9380
0.3571,0.2500,314,-3.4300
0.3571,0.2500,1066,-0.0108
0.3571,0.2500,53,-0.6926
0.3571,0.2500,160,-0.3704
0.3571,0.2500,1031,0.9258
0.4286,0.2500,42,-10.6210
0.4286,0.2500,123,-7.2969
0.4286,0.2500,777,-12.6230
0.4286,0.2500,999,-11.7917
0.4286,0.2500,2024,-11.6846
0.4286,0.2500,314,-9.8806
0.4286,0.2500,1066,-9.2508
0.4286,0.2500,53,-10.7926
0.4286,0.2500,160,-13.9024
0.4286,0.2500,1031,-9.2559
0.5000,0.2500,42,-18.2848
0.5000,0.2500,123,-26.1823
0.5000,0.2500,777,-23.2311
0.5000,0.2500,999,-17.8489
0.5000,0.2500,2024,-17.3521
0.5000,0.2500,314,-22.1985
0.5000,0.2500,1066,-18.5969
0.5000,0.2500,53,-23.7363
0.5000,0.2500,160,-24.2657
0.5000,0.2500,1031,-25.0670
0.0714,0.3000,42,60.7216
0.0714,0.3000,123,59.8367
0.0714,0.3000,777,60.3428
0.0714,0.3000,999,60.3598
0.0714,0.3000,2024,59.9360
0.0714,0.3000,314,60.5142
0.0714,0.3000,1066,59.8182
0.0714,0.3000,53,60.8035
0.0714,0.3000,160,60.2785
0.0714,0.3000,1031,58.8398
0.1429,0.3000,42,45.9729
0.1429,0.3000,123,43.1487
0.1429,0.3000,777,42.0007
0.1429,0.3000,999,45.2639
0.1429,0.3000,2024,45.3578
0.1429,0.3000,314,45.2532
0.1429,0.3000,1066,43.0978
0.1429,0.3000,53,42.0069
0.1429,0.3000,160,45.7029
0.1429,0.3000,1031,44.2422
0.2143,0.3000,42,29.3952
0.2143,0.3000,123,31.3805
0.2143,0.3000,777,27.3312
0.2143,0.3000,999,32.1345
0.2143,0.3000,2024,31.5910
0.2143,0.3000,314,31.6841
0.2143,0.3000,1066,28.9887
0.2143,0.3000,53,30.5142
0.2143,0.3000,160,31.0782
0.2143,0.3000,1031,31.9731
0.2857,0.3000,42,17.2700
0.2857,0.3000,123,18.5050
0.2857,0.3000,777,18.4237
0.2857,0.3000,999,12.8916
0.2857,0.3000,2024,18.0181
0.2857,0.3000,314,16.9269
0.2857,0.3000,1066,17.7420
0.2857,0.3000,53,19.1335
0.2857,0.3000,160,17.1647
0.2857,0.3000,1031,18.4473
0.3571,0.3000,42,5.3847
0.3571,0.3000,123,6.5976
0.3571,0.3000,777,6.9749
0.3571,0.3000,999,6.1433
0.3571,0.3000,2024,7.7411
0.3571,0.3000,314,9.5028
0.3571,0.3000,1066,7.1912
0.3571,0.3000,53,6.8240
0.3571,0.3000,160,7.6173
0.3571,0.3000,1031,7.8492
0.0000,0.3500,42,80.9996
0.0000,0.3500,123,80.9982
0.0000,0.3500,777,81.0118
0.0000,0.3500,999,81.0103
0.0000,0.3500,2024,80.9870
0.0000,0.3500,314,81.0223
0.0000,0.3500,1066,80.9928
0.0000,0.3500,53,80.9956
0.0000,0.3500,160,81.0137
0.0000,0.3500,1031,80.9970
0.4286,0.3000,42,-5.3961
0.4286,0.3000,123,-3.7019
0.4286,0.3000,777,-2.0911
0.4286,0.3000,999,-5.2891
0.4286,0.3000,2024,-7.1002
0.4286,0.3000,314,-4.7926
0.4286,0.3000,1066,-3.3233
0.4286,0.3000,53,-3.7503
0.4286,0.3000,160,-3.3167
0.4286,0.3000,1031,-3.8410
0.5000,0.3000,42,-18.1136
0.5000,0.3000,123,-14.2256
