rho_max,tau_max,regime_pm10,regime_pm15,regime_pm20,agree_pm10,agree_pm20,changed_pm10,changed_pm20,is_boundary
0.0,0.1,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0,0.15,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0,0.2,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0,0.25,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0,0.3,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0,0.35,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0,0.4,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0,0.45,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0714,0.1,Deterrence,Deterrence,Transition,1,0,0,1,0
0.0714,0.15,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0714,0.2,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0714,0.25,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0714,0.3,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0714,0.35,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0714,0.4,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.0714,0.45,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.1429,0.1,Transition,Transition,Transition,1,1,0,0,1
0.1429,0.15,Deterrence,Deterrence,Transition,1,0,0,1,0
0.1429,0.2,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.1429,0.25,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.1429,0.3,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.1429,0.35,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.1429,0.4,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.1429,0.45,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2143,0.1,Transition,Transition,Transition,1,1,0,0,1
0.2143,0.15,Transition,Transition,Transition,1,1,0,0,1
0.2143,0.2,Deterrence,Deterrence,Transition,1,0,0,1,0
0.2143,0.25,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2143,0.3,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2143,0.35,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2143,0.4,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2143,0.45,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2857,0.1,Escalation,Escalation,Escalation,1,1,0,0,0
0.2857,0.15,Transition,Transition,Transition,1,1,0,0,1
0.2857,0.2,Transition,Transition,Transition,1,1,0,0,1
0.2857,0.25,Deterrence,Transition,Transition,0,1,1,0,1
0.2857,0.3,Deterrence,Deterrence,Transition,1,0,0,1,0
0.2857,0.35,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2857,0.4,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.2857,0.45,Deterrence,Deterrence,Deterrence,1,1,0,0,0
0.3571,0.1,Escalation,Escalation,Escalation,1,1,0,0,0
0.3571,0.15,Escalation,Escalation,Transition,1,0,0,1,0
0.3571,0.2,Transition,Transition,Transition,1,1,0,0,1
0.3571,0.25,Transition,Transition,Transition,1,1,0,0,1
0.3571,0.3,Transition,Transition,Transition,1,1,0,0,1
0.3571,0.35,Deterrence,Transition,Transition,0,1,1,0,1
0.3571,0.4,Deterrence,Transition,Transition,0,1,1,0,1
0.3571,0.45,Deterrence,Deterrence,Transition,1,0,0,1,0
0.4286,0.1,Escalation,Escalation,Escalation,1,1,0,0,0
0.4286,0.15,Escalation,Escalation,Escalation,1,1,0,0,0
0.4286,0.2,Escalation,Escalation,Transition,1,0,0,1,0
0.4286,0.25,Escalation,Transition,Transition,0,1,1,0,1
0.4286,0.3,Transition,Transition,Transition,1,1,0,0,1
0.4286,0.35,Transition,Transition,Transition,1,1,0,0,1
0.4286,0.4,Transition,Transition,Transition,1,1,0,0,1
0.4286,0.45,Transition,Transition,Transition,1,1,0,0,1
0.5,0.1,Escalation,Escalation,Escalation,1,1,0,0,0
0.5,0.15,Escalation,Escalation,Escalation,1,1,0,0,0
0.5,0.2,Escalation,Escalation,Escalation,1,1,0,0,0
0.5,0.25,Escalation,Escalation,Escalation,1,1,0,0,0
0.5,0.3,Escalation,Multiple,Transition,0,0,1,1,1
0.5,0.35,Transition,Transition,Transition,1,1,0,0,1
0.5,0.4,Transition,Transition,Transition,1,1,0,0,1
0.5,0.45,Transition,Transition,Transition,1,1,0,0,1
